series_name,model_name,split,calibration_kind,interval_level,nominal_coverage,empirical_coverage,coverage_gap,average_interval_width,uncertainty_method,uncertainty_draws,interval_calibration_method,interval_calibration_scale,artifact_dir
>= 65 yr,probabilistic_seir,validation,raw,95,0.95,1.0,0.050000000000000044,2.552491934296187,bootstrap,30,conformal,0.9997624612761051,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
Overall,probabilistic_seir,test,calibrated,50,0.5,1.0,0.5,0.35390557170666387,bootstrap,30,conformal,1.2070994608503773,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,test,calibrated,80,0.8,1.0,0.19999999999999996,0.4786303672835261,bootstrap,30,conformal,1.0041466395753536,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,test,calibrated,95,0.95,0.9090909090909091,-0.040909090909090895,0.6753655290898801,bootstrap,30,conformal,0.8886190583915551,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,test,raw,50,0.5,0.9090909090909091,0.40909090909090906,0.293186753192106,bootstrap,30,conformal,1.2070994608503773,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,test,raw,80,0.8,1.0,0.19999999999999996,0.4766538555423891,bootstrap,30,conformal,1.0041466395753536,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,test,raw,95,0.95,1.0,0.050000000000000044,0.7600169304407284,bootstrap,30,conformal,0.8886190583915551,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,validation,calibrated,50,0.5,0.6,0.09999999999999998,0.48237814313454247,bootstrap,30,conformal,1.2070994608503773,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,validation,calibrated,80,0.8,0.9,0.09999999999999998,0.6640157978679305,bootstrap,30,conformal,1.0041466395753536,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,validation,calibrated,95,0.95,1.0,0.050000000000000044,0.8200026277852952,bootstrap,30,conformal,0.8886190583915551,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,validation,raw,50,0.5,0.5,0.0,0.39961756158412726,bootstrap,30,conformal,1.2070994608503773,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,validation,raw,80,0.8,0.7,-0.10000000000000009,0.6612737340322508,bootstrap,30,conformal,1.0041466395753536,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
Overall,probabilistic_seir,validation,raw,95,0.95,1.0,0.050000000000000044,0.9227830756517206,bootstrap,30,conformal,0.8886190583915551,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/overall/probabilistic_seir
