series_name,age_family,model_name,split,horizon,calibration_kind,interval_level,nominal_coverage,empirical_coverage,coverage_gap,abs_coverage_gap,average_interval_width,interval_score_mean,interval_score_median,residual_source_used,calibration_points,pooled_horizons_used,pooled_age_family_used,global_pooling_used,uncertainty_method,uncertainty_draws,artifact_dir
18-49 yr,adults,probabilistic_seir,validation,static,scale_calibrated,95,0.95,0.8,-0.1499999999999999,0.1499999999999999,0.5893604387869346,1.0909973374958968,0.6270223922246456,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,conformal_absolute,50,0.5,1.0,0.5,0.5,0.08469426135265046,0.08469426135265046,0.0835413437373998,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,conformal_asymmetric,50,0.5,1.0,0.5,0.5,0.2147540718715504,0.2147540718715504,0.1957347755991331,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,conformal_standardized,50,0.5,1.0,0.5,0.5,0.16237548342740182,0.16237548342740182,0.14709705999853562,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,raw,50,0.5,0.6363636363636364,0.13636363636363635,0.13636363636363635,0.20948902466814834,0.23054921348175664,0.2554166589831295,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,scale_calibrated,50,0.5,0.6363636363636364,0.13636363636363635,0.13636363636363635,0.20948902466814834,0.23054921348175664,0.2554166589831295,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,conformal_absolute,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.12952053430002664,0.12952053430002664,0.128367616684776,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,conformal_asymmetric,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.41909485829022586,0.41909485829022586,0.3815914576857245,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,conformal_standardized,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.2616266798810214,0.2616266798810214,0.2393190185161002,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
5-17 yr,children,probabilistic_seir,test,static,raw,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.41909485829022586,0.41909485829022586,0.3815914576857245,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/5_17_yr/probabilistic_seir
